source_record_id,listing_type,title,city,district,community,address,total_price,unit_price,monthly_rent,area,bedroom_count,living_room_count,layout,orientation,floor_description,floor_level,total_floors,decoration,surrounding_description,listing_date,data_source
SYN-SALE-000001,SALE,北京市顺义区3室2厅朝向未知精装房,北京市,顺义区,沿海赛洛城,新城路64号,615.82,54458.54,,113.08,3,2,3室2厅,UNKNOWN,中楼层/共16层,MIDDLE,16,REFINED,临近商圈，购物便利,2025-08-04,SYNTHETIC_CSV_V1
SYN-SALE-000002,SALE,北京市昌平区1室1厅南向简装房,北京市,昌平区,天通苑北苑,科苑路157号,355.04,88694.12,,40.03,1,1,1室1厅,SOUTH,高楼层/共22层,HIGH,22,SIMPLE,靠近产业园，通勤方便,2024-08-07,SYNTHETIC_CSV_V1
SYN-SALE-000003,SALE,北京市西城区3室2厅西南向精装房,北京市,西城区,回龙观新村,人民路75号,1645.18,111484.56,,147.57,3,2,3室2厅,SOUTHWEST,中楼层/共19层,MIDDLE,19,REFINED,地铁口步行可达，交通便捷,2024-12-22,SYNTHETIC_CSV_V1
SYN-SALE-000004,SALE,北京市顺义区3室1厅多面采光简装房,北京市,顺义区,翠微嘉园,,893.55,65750.62,,135.90,3,1,3室1厅,MULTIPLE,低楼层/共43层,LOW,43,SIMPLE,社区环境安静，附近有公园,2026-06-10,SYNTHETIC_CSV_V1
SYN-SALE-000005,SALE,北京市东城区4室3厅东北向其他装修房,北京市,东城区,北苑家园,解放路162号,1592.89,77040.49,,206.76,4,3,4室3厅,NORTHEAST,低楼层/共26层,LOW,26,OTHER,公园环绕，环境优美,2024-10-20,SYNTHETIC_CSV_V1
SYN-SALE-000006,SALE,北京市东城区3室2厅南向精装房,北京市,东城区,西山壹号院,,1559.56,107400.08,,145.21,3,2,3室2厅,SOUTH,中楼层/共28层,MIDDLE,28,REFINED,临近商圈，购物便利,2025-10-22,SYNTHETIC_CSV_V1
SYN-SALE-000007,SALE,北京市东城区5室3厅南向其他装修房,北京市,东城区,龙湖滟澜山,工业大道21号,2325.25,120968.16,,192.22,5,3,5室3厅,SOUTH,中楼层/共12层,MIDDLE,12,OTHER,临近商圈，购物便利,2025-10-16,SYNTHETIC_CSV_V1
SYN-SALE-000008,SALE,北京市大兴区2室2厅多面采光精装房,北京市,大兴区,回龙观新村,科苑路5号,466.68,75723.58,,61.63,2,2,2室2厅,MULTIPLE,中楼层/共24层,MIDDLE,24,REFINED,公园环绕，环境优美,2025-02-14,SYNTHETIC_CSV_V1
SYN-SALE-000009,SALE,北京市顺义区3室2厅东向未知装修房,北京市,顺义区,合生国际花园,文化路141号,910.84,70167.5,,129.81,3,2,3室2厅,EAST,高楼层/共17层,HIGH,17,UNKNOWN,社区环境安静，附近有公园,2025-08-16,SYNTHETIC_CSV_V1
SYN-SALE-000010,SALE,北京市海淀区3室2厅朝向未知豪装房,北京市,海淀区,新龙城,创新路88号,1163.17,89481.68,,129.99,3,2,3室2厅,UNKNOWN,低楼层/共25层,LOW,25,LUXURY,公园环绕，环境优美,2024-10-26,SYNTHETIC_CSV_V1
SYN-SALE-000011,SALE,北京市海淀区2室2厅西南向毛坯房,北京市,海淀区,华业东方玫瑰,,320.82,44196.63,,72.59,2,2,2室2厅,SOUTHWEST,低楼层/共27层,LOW,27,ROUGH,社区环境安静，附近有公园,2025-11-22,SYNTHETIC_CSV_V1
SYN-SALE-000012,SALE,北京市昌平区3室2厅西北向豪装房,北京市,昌平区,西山壹号院,长安街50号,831.02,92325.42,,90.01,3,2,3室2厅,NORTHWEST,,UNKNOWN,24,LUXURY,社区环境安静，附近有公园,2024-04-21,SYNTHETIC_CSV_V1
SYN-SALE-000013,SALE,北京市石景山区2室2厅南向精装房,北京市,石景山区,世纪风景,环城路105号,351.2,41933.85,,83.75,2,2,2室2厅,SOUTH,高楼层/共36层,HIGH,36,REFINED,公园环绕，环境优美,2025-08-07,SYNTHETIC_CSV_V1
SYN-SALE-000014,SALE,北京市西城区4室3厅南向简装房,北京市,西城区,融科橄榄城,解放路98号,1829.33,134174.06,,136.34,4,3,4室3厅,SOUTH,中楼层/共8层,MIDDLE,8,SIMPLE,靠近产业园，通勤方便,2026-03-17,SYNTHETIC_CSV_V1
SYN-SALE-000015,SALE,北京市顺义区3室2厅南向毛坯房,北京市,顺义区,回龙观新村,学府路196号,452.28,45382.5,,99.66,3,2,3室2厅,SOUTH,低楼层/共16层,LOW,16,ROUGH,地铁口步行可达，交通便捷,2025-05-31,SYNTHETIC_CSV_V1
SYN-SALE-000016,SALE,北京市朝阳区5室3厅南向精装房,北京市,朝阳区,龙湖滟澜山,,1558.51,86555.22,,180.06,5,3,5室3厅,SOUTH,,UNKNOWN,35,REFINED,公园环绕，环境优美,2024-01-03,SYNTHETIC_CSV_V1
SYN-SALE-000017,SALE,北京市石景山区5室3厅多面采光简装房,北京市,石景山区,望京新城,花园路157号,882.08,41603.51,,212.02,5,3,5室3厅,MULTIPLE,高楼层/共19层,HIGH,19,SIMPLE,公交线路较多，生活配套完善,2025-05-13,SYNTHETIC_CSV_V1
SYN-SALE-000018,SALE,北京市海淀区2室1厅多面采光毛坯房,北京市,海淀区,中粮祥云小镇,创新路68号,576.45,88439.89,,65.18,2,1,2室1厅,MULTIPLE,中楼层/共29层,MIDDLE,29,ROUGH,临近商圈，购物便利,2024-07-22,SYNTHETIC_CSV_V1
SYN-SALE-000019,SALE,北京市顺义区3室1厅东南向简装房,北京市,顺义区,金地格林小镇,友谊路164号,866.85,65879.75,,131.58,3,1,3室1厅,SOUTHEAST,中楼层/共43层,MIDDLE,43,SIMPLE,靠近医院，生活便利,2025-02-13,SYNTHETIC_CSV_V1
SYN-SALE-000020,SALE,北京市海淀区1室1厅多面采光毛坯房,北京市,海淀区,北京城建琨廷,文化路68号,252.25,65759.06,,38.36,1,1,1室1厅,MULTIPLE,中楼层/共33层,MIDDLE,33,ROUGH,小区绿化好，安静宜居,2025-10-14,SYNTHETIC_CSV_V1
SYN-SALE-000021,SALE,北京市通州区3室1厅西向豪装房,北京市,通州区,云栖花园,学府路90号,484.44,55213.25,,87.74,3,1,3室1厅,WEST,低楼层/共27层,LOW,27,LUXURY,周边教育资源丰富,2024-01-30,SYNTHETIC_CSV_V1
SYN-SALE-000022,SALE,北京市大兴区1室1厅多面采光精装房,北京市,大兴区,合生国际花园,花园路74号,337.04,84833.11,,39.73,1,1,1室1厅,MULTIPLE,中楼层/共14层,MIDDLE,14,REFINED,地铁口步行可达，交通便捷,2024-05-13,SYNTHETIC_CSV_V1
SYN-SALE-000023,SALE,北京市朝阳区3室1厅多面采光精装房,北京市,朝阳区,龙湖滟澜山,建设路58号,1009.88,132460.23,,76.24,3,1,3室1厅,MULTIPLE,高楼层/共20层,HIGH,20,REFINED,地铁口步行可达，交通便捷,2024-07-03,SYNTHETIC_CSV_V1
SYN-SALE-000024,SALE,北京市通州区2室2厅西向简装房,北京市,通州区,华润橡树湾,开发区大道97号,548.02,57504.41,,95.30,2,2,2室2厅,WEST,低楼层/共34层,LOW,34,SIMPLE,社区环境安静，附近有公园,2025-07-22,SYNTHETIC_CSV_V1
SYN-SALE-000025,SALE,北京市东城区3室1厅西北向精装房,北京市,东城区,金隅学府,中山路68号,949.45,69409.61,,136.79,3,1,3室1厅,NORTHWEST,低楼层/共30层,LOW,30,REFINED,近地铁，周边有商场和学校,2024-10-14,SYNTHETIC_CSV_V1
SYN-SALE-000026,SALE,北京市西城区4室3厅南向简装房,北京市,西城区,西山壹号院,建设路126号,1908.72,100708.05,,189.53,4,3,4室3厅,SOUTH,低楼层/共6层,LOW,6,SIMPLE,社区环境安静，附近有公园,2026-03-24,SYNTHETIC_CSV_V1
SYN-SALE-000027,SALE,北京市西城区2室2厅南向简装房,北京市,西城区,保利茉莉公馆,花园路104号,1098.08,138891.86,,79.06,2,2,2室2厅,SOUTH,,UNKNOWN,33,SIMPLE,地铁口步行可达，交通便捷,2025-12-17,SYNTHETIC_CSV_V1
SYN-SALE-000028,SALE,北京市大兴区3室1厅朝向未知精装房,北京市,大兴区,华润橡树湾,朝阳街93号,598.34,45188.56,,132.41,3,1,3室1厅,UNKNOWN,低楼层/共19层,LOW,19,REFINED,公园环绕，环境优美,2025-03-09,SYNTHETIC_CSV_V1
SYN-SALE-000029,SALE,北京市东城区3室2厅多面采光精装房,北京市,东城区,新龙城,和平路1号,1293.87,102687.73,,126.00,3,2,3室2厅,MULTIPLE,中楼层/共32层,MIDDLE,32,REFINED,小区绿化好，安静宜居,2025-11-11,SYNTHETIC_CSV_V1
SYN-SALE-000030,SALE,北京市西城区1室北向简装房,北京市,西城区,矩阵小区,科苑路34号,822.6,149400.54,,55.06,1,0,1室,NORTH,中楼层/共34层,MIDDLE,34,SIMPLE,周边教育资源丰富,2025-08-20,SYNTHETIC_CSV_V1
SYN-SALE-000031,SALE,北京市朝阳区2室1厅南向豪装房,北京市,朝阳区,合生国际花园,科苑路127号,1007.15,101302.81,,99.42,2,1,2室1厅,SOUTH,低楼层/共11层,LOW,11,LUXURY,地铁口步行可达，交通便捷,2024-10-30,SYNTHETIC_CSV_V1
SYN-SALE-000032,SALE,北京市丰台区5室3厅多面采光精装房,北京市,丰台区,龙湖滟澜山,人民路170号,921.17,38943.32,,236.54,5,3,5室3厅,MULTIPLE,中楼层/共34层,MIDDLE,34,REFINED,小区绿化好，安静宜居,2024-09-16,SYNTHETIC_CSV_V1
SYN-SALE-000033,SALE,北京市海淀区2室2厅北向毛坯房,北京市,海淀区,远洋一方,创新路176号,577.11,61881.43,,93.26,2,2,2室2厅,NORTH,中楼层/共40层,MIDDLE,40,ROUGH,靠近医院，生活便利,2024-08-28,SYNTHETIC_CSV_V1
SYN-SALE-000034,SALE,北京市通州区2室2厅西南向简装房,北京市,通州区,万年花城,文化路186号,411.82,45017.66,,91.48,2,2,2室2厅,SOUTHWEST,高楼层/共27层,HIGH,27,SIMPLE,社区环境安静，附近有公园,2026-08-17,SYNTHETIC_CSV_V1
SYN-SALE-000035,SALE,北京市石景山区2室2厅东南向简装房,北京市,石景山区,世纪风景,友谊路180号,516.92,83387.45,,61.99,2,2,2室2厅,SOUTHEAST,高楼层/共26层,HIGH,26,SIMPLE,周边教育资源丰富,2026-08-09,SYNTHETIC_CSV_V1
SYN-SALE-000036,SALE,北京市西城区4室3厅西南向精装房,北京市,西城区,新龙城,花园路78号,908.42,68118.07,,133.36,4,3,4室3厅,SOUTHWEST,低楼层/共11层,LOW,11,REFINED,社区环境安静，附近有公园,2024-09-15,SYNTHETIC_CSV_V1
SYN-SALE-000037,SALE,北京市丰台区2室2厅东向毛坯房,北京市,丰台区,北京城建琨廷,科技大道109号,299.2,57560.43,,51.98,2,2,2室2厅,EAST,低楼层/共28层,LOW,28,ROUGH,临近商圈，购物便利,2025-01-13,SYNTHETIC_CSV_V1
SYN-SALE-000038,SALE,北京市朝阳区3室2厅南向简装房,北京市,朝阳区,北京华侨城,新城路76号,1374.84,108829.36,,126.33,3,2,3室2厅,SOUTH,中楼层/共15层,MIDDLE,15,SIMPLE,小区绿化好，安静宜居,2024-08-12,SYNTHETIC_CSV_V1
SYN-SALE-000039,SALE,北京市大兴区2室2厅东南向豪装房,北京市,大兴区,保利茉莉公馆,友谊路91号,585.9,60135.78,,97.43,2,2,2室2厅,SOUTHEAST,中楼层/共24层,MIDDLE,24,LUXURY,公园环绕，环境优美,2025-01-02,SYNTHETIC_CSV_V1
SYN-SALE-000040,SALE,北京市顺义区2室1厅南向精装房,北京市,顺义区,金地格林小镇,开发区大道191号,501.82,51253.25,,97.91,2,1,2室1厅,SOUTH,低楼层/共29层,LOW,29,REFINED,临近商圈，购物便利,2026-07-02,SYNTHETIC_CSV_V1
SYN-SALE-000041,SALE,北京市西城区3室2厅东向精装房,北京市,西城区,首开常青藤,环城路99号,945.3,96165.26,,98.30,3,2,3室2厅,EAST,中楼层/共28层,MIDDLE,28,REFINED,周边教育资源丰富,2026-08-31,SYNTHETIC_CSV_V1
SYN-SALE-000042,SALE,北京市朝阳区2室2厅东南向毛坯房,北京市,朝阳区,回龙观新村,花园路49号,551.98,83482.15,,66.12,2,2,2室2厅,SOUTHEAST,低楼层/共42层,LOW,42,ROUGH,靠近产业园，通勤方便,2026-08-08,SYNTHETIC_CSV_V1
SYN-SALE-000043,SALE,北京市西城区3室2厅朝向未知简装房,北京市,西城区,当代MOMA,解放路19号,773.76,98920.39,,78.22,3,2,3室2厅,UNKNOWN,中楼层/共26层,MIDDLE,26,SIMPLE,靠近产业园，通勤方便,2024-05-07,SYNTHETIC_CSV_V1
SYN-SALE-000044,SALE,北京市海淀区2室2厅南向毛坯房,北京市,海淀区,世纪风景,环城路115号,516.09,91037.83,,56.69,2,2,2室2厅,SOUTH,中楼层/共29层,MIDDLE,29,ROUGH,小区绿化好，安静宜居,2024-06-21,SYNTHETIC_CSV_V1
SYN-SALE-000045,SALE,北京市海淀区1室1厅西向简装房,北京市,海淀区,中粮祥云小镇,科苑路2号,233.23,69621.09,,33.50,1,1,1室1厅,WEST,中楼层/共37层,MIDDLE,37,SIMPLE,近地铁，周边有商场和学校,2025-12-28,SYNTHETIC_CSV_V1
SYN-SALE-000046,SALE,北京市海淀区4室3厅西南向简装房,北京市,海淀区,保利茉莉公馆,,1053.26,78772.29,,133.71,4,3,4室3厅,SOUTHWEST,中楼层/共35层,MIDDLE,35,SIMPLE,靠近医院，生活便利,2024-04-22,SYNTHETIC_CSV_V1
SYN-SALE-000047,SALE,北京市顺义区2室1厅南向简装房,北京市,顺义区,国风美唐,朝阳街131号,601.82,75416.26,,79.80,2,1,2室1厅,SOUTH,中楼层/共7层,MIDDLE,7,SIMPLE,靠近产业园，通勤方便,2025-10-24,SYNTHETIC_CSV_V1
SYN-SALE-000048,SALE,北京市西城区3室2厅东南向简装房,北京市,西城区,万年生态城,花园路134号,1115.96,112929.06,,98.82,3,2,3室2厅,SOUTHEAST,中楼层/共12层,MIDDLE,12,SIMPLE,靠近医院，生活便利,2025-05-30,SYNTHETIC_CSV_V1
SYN-SALE-000049,SALE,北京市石景山区4室2厅西向精装房,北京市,石景山区,中粮祥云小镇,滨河路137号,1277.74,70832.0,,180.39,4,2,4室2厅,WEST,高楼层/共41层,HIGH,41,REFINED,靠近产业园，通勤方便,2025-11-23,SYNTHETIC_CSV_V1
SYN-SALE-000050,SALE,北京市东城区5室2厅朝向未知未知装修房,北京市,东城区,翠微嘉园,中山路113号,2256.08,144500.25,,156.13,5,2,5室2厅,UNKNOWN,中楼层/共12层,MIDDLE,12,UNKNOWN,靠近医院，生活便利,2026-02-22,SYNTHETIC_CSV_V1
SYN-SALE-000051,SALE,北京市朝阳区3室2厅南向简装房,北京市,朝阳区,龙湖滟澜山,中山路140号,912.64,77139.82,,118.31,3,2,3室2厅,SOUTH,低楼层/共18层,LOW,18,SIMPLE,靠近医院，生活便利,2026-08-11,SYNTHETIC_CSV_V1
SYN-SALE-000052,SALE,北京市东城区3室2厅东向精装房,北京市,东城区,万年花城,友谊路145号,611.22,73402.75,,83.27,3,2,3室2厅,EAST,低楼层/共13层,LOW,13,REFINED,公园环绕，环境优美,2026-02-17,SYNTHETIC_CSV_V1
SYN-SALE-000053,SALE,北京市顺义区3室1厅多面采光精装房,北京市,顺义区,保利茉莉公馆,新城路156号,830.15,62057.93,,133.77,3,1,3室1厅,MULTIPLE,中楼层/共21层,MIDDLE,21,REFINED,近地铁，周边有商场和学校,2026-04-14,SYNTHETIC_CSV_V1
SYN-SALE-000054,SALE,北京市通州区3室2厅南向简装房,北京市,通州区,西山壹号院,解放路156号,754.9,61821.17,,122.11,3,2,3室2厅,SOUTH,中楼层/共7层,MIDDLE,7,SIMPLE,小区绿化好，安静宜居,2025-04-11,SYNTHETIC_CSV_V1
SYN-SALE-000055,SALE,北京市海淀区5室3厅南向精装房,北京市,海淀区,富力又一城,,2202.94,91617.53,,240.45,5,3,5室3厅,SOUTH,中楼层/共9层,MIDDLE,9,REFINED,周边教育资源丰富,2024-12-22,SYNTHETIC_CSV_V1
SYN-SALE-000056,SALE,北京市东城区2室2厅西南向精装房,北京市,东城区,融科橄榄城,环城路5号,607.84,68877.3,,88.25,2,2,2室2厅,SOUTHWEST,中楼层/共29层,MIDDLE,29,REFINED,小区绿化好，安静宜居,2025-02-08,SYNTHETIC_CSV_V1
